City,Rate,County
Chino Hills,7.75%,San Bernardino
Chino,7.75%,San Bernardino
Chiriaco Summit,7.75%,Riverside
Cholame,7.25%,San Luis Obispo
Chowchilla,8.75%,Madera
Chualar,7.75%,Monterey
Chula Vista,8.75%,San Diego
Cima,7.75%,San Bernardino
Citrus Heights,7.75%,Sacramento
City of Commerce,10.25%,Los Angeles
City of Industry,9.50%,Los Angeles
City Terrace,9.50%,Los Angeles
Claremont,9.50%,Los Angeles
Clarksburg,7.25%,Yolo
Clayton,8.75%,Contra Costa
Clear Creek,7.25%,Siskiyou
Clearlake Highlands (Clearlake),8.75%,Lake
Clearlake Oaks,7.25%,Lake
Clearlake Park (Clearlake),8.75%,Lake
Clearlake,8.75%,Lake
Clements,7.75%,San Joaquin
Clinter,7.98%,Fresno
Clio,7.25%,Plumas
Clipper Mills,7.25%,Butte
Cloverdale,8.50%,Sonoma
Clovis,7.98%,Fresno
Coachella,8.75%,Riverside
Coalinga,8.98%,Fresno
Coarsegold,7.75%,Madera
Cobb,7.25%,Lake
Cohasset,7.25%,Butte
Cole,9.50%,Los Angeles
Coleville,7.25%,Mono
Colfax,7.25%,Placer
College City,7.75%,Colusa
College Grove Center,7.75%,San Diego
Colma,9.38%,San Mateo
Coloma,7.25%,El Dorado
Colorado,8.75%,Mariposa
Colton,8.75%,San Bernardino
Columbia,7.25%,Tuolumne
Colusa,8.75%,Colusa
Commerce,10.25%,Los Angeles
Comptche,7.88%,Mendocino
Compton,10.25%,Los Angeles
Concord,9.75%,Contra Costa
Cool,7.25%,El Dorado
Copperopolis,7.25%,Calaveras
Corcoran,8.25%,Kings
Cornell,9.50%,Los Angeles
Corning,7.75%,Tehama
Corona Del Mar (Newport Beach),7.75%,Orange
Corona,8.75%,Riverside
Coronado,7.75%,San Diego
Corralitos,9.00%,Santa Cruz
Corte Madera,9.00%,Marin
Coso Junction,7.75%,Inyo
Costa Mesa,7.75%,Orange
Cotati,9.50%,Sonoma
Coto De Caza,7.75%,Orange
Cottonwood,7.25%,Shasta
Coulterville,8.75%,Mariposa
Courtland,7.75%,Sacramento
Covelo,7.88%,Mendocino
Covina,10.25%,Los Angeles
Cowan Heights,7.75%,Orange
Coyote,9.13%,Santa Clara
Crannell,7.75%,Humboldt
Crenshaw (Los Angeles),9.50%,Los Angeles
Crescent City,8.25%,Del Norte
Crescent Mills,7.25%,Plumas
Cressey,7.75%,Merced
Crest,7.75%,San Diego
Crest Park,7.75%,San Bernardino
Cresta Blanca,10.25%,Alameda
Crestline,7.75%,San Bernardino
Creston,7.25%,San Luis Obispo
Crockett,8.75%,Contra Costa
Cromberg,7.25%,Plumas
Cross Roads,7.75%,San Bernardino
Crowley Lake,7.25%,Mono
Crows Landing,7.88%,Stanislaus
Cucamonga (Rancho Cucamonga),7.75%,San Bernardino
Cudahy,10.25%,Los Angeles
Culver City,10.25%,Los Angeles
Cummings,7.88%,Mendocino
Cupertino,9.13%,Santa Clara
Curry Village,8.75%,Mariposa
Cutler,7.75%,Tulare
Cutten,7.75%,Humboldt
Cuyama,7.75%,Santa Barbara
Cypress,7.75%,Orange
Daggett,7.75%,San Bernardino
Dairy Farm,7.38%,Solano
Daly City,9.88%,San Mateo
Dana Point,7.75%,Orange
Danville,8.75%,Contra Costa
Dardanelle,7.25%,Tuolumne
Darwin,7.75%,Inyo
Davenport,9.00%,Santa Cruz
Davis (U.C. Davis campus rate is 7.25%),8.25%,Yolo
Davis Creek,7.25%,Modoc
Death Valley,7.75%,Inyo
Death Valley Junction,7.75%,Inyo
Deer Park,7.75%,Napa
Del Kern (Bakersfield),8.25%,Kern
Del Mar Heights (Morro Bay),8.75%,San Luis Obispo
Del Mar,8.75%,San Diego
Del Monte Grove (Monterey),9.25%,Monterey
Del Rey,7.98%,Fresno
Del Rey Oaks,9.25%,Monterey
Del Rosa,7.75%,San Bernardino
Del Sur,9.50%,Los Angeles
Delano,8.25%,Kern
Deleven,7.75%,Colusa
Delhi,7.75%,Merced
Denair,7.88%,Stanislaus
Denny,7.25%,Trinity
Descanso,7.75%,San Diego
Desert Center,7.75%,Riverside
Desert Hot Springs,7.75%,Riverside
Di Giorgio,8.25%,Kern
Diablo,8.75%,Contra Costa
Diamond Bar,9.50%,Los Angeles
Diamond Springs,7.25%,El Dorado
Dillon Beach,8.25%,Marin
Dinkey Creek,7.98%,Fresno
Dinuba,8.50%,Tulare
Discovery Bay,8.75%,Contra Costa
Dixon,7.38%,Solano
Dobbins,8.25%,Yuba
Dogtown,8.25%,Marin
Dollar Ranch,8.75%,Contra Costa
Dorris,7.25%,Siskiyou
Dos Palos,7.75%,Merced
Dos Rios,7.88%,Mendocino
Douglas City,7.25%,Trinity
Douglas Flat,7.25%,Calaveras
Downey,10.00%,Los Angeles
Downieville,7.25%,Sierra
Doyle,7.25%,Lassen
Drytown,7.75%,Amador
Duarte,10.25%,Los Angeles
Dublin,10.25%,Alameda
Ducor,7.75%,Tulare
Dulzura,7.75%,San Diego
Duncans Mills,8.50%,Sonoma
Dunlap,7.98%,Fresno
